symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
1980.T,ダイダン,プライム,5,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.9700453096157073,0.5899325279970589,0.6559294214197784,-0.04984820291842131,False,True,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし,14.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4503.T,アステラス製薬,プライム,5,4,8,True,False,False,False,True,True,False,True,False,False,True,False,0.2510312787856943,-0.5142032120307141,1.7029340804731885,0.13367221841438973,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,17.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4626.T,太陽ホールディングス,プライム,5,3,8,True,True,False,False,False,False,False,True,False,True,True,False,0.24650491045638367,0.1813067793313985,0.3506014434643144,0.1930108452401446,True,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,26.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1768.T,ソネック,スタンダード,4,5,8,True,True,False,False,True,True,False,True,False,False,True,False,1.324921135646688,-0.14279779913924717,3.7289719626168223,0.1631650750341064,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,9.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1867.T,植木組,スタンダード,4,5,8,True,True,False,False,True,True,False,True,False,True,False,False,0.11152976639035428,0.1760223629754969,0.5761245674740484,0.3203690927906174,True,True,False,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,10.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1905.T,テノックス,スタンダード,4,4,8,True,True,False,True,False,False,False,True,False,True,True,True,1.0897666068222622,0.2950804721695144,-0.9130434782608695,-0.3665151023059435,False,False,True,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常利益率のYoY改善なし; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,14.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1951.T,エクシオグループ,プライム,4,4,8,True,False,False,False,True,True,False,True,False,False,False,False,0.17837603596771578,0.1350437444943895,0.670863599677159,0.23405333117198898,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,15.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3110.T,日東紡績,プライム,4,5,8,True,True,False,True,False,True,False,True,False,False,True,True,0.8014766201804757,0.7016653823086425,0.6310975609756098,0.08334570834570834,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,9.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3407.T,旭化成,プライム,4,4,8,True,True,False,True,False,False,False,True,False,False,True,True,1.1467298430946093,0.264973183381088,0.12246694272740002,-0.008421261930010604,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,12.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1721.T,コムシスホールディングス,プライム,3,2,8,True,False,False,False,False,False,False,True,False,False,False,True,0.15481730864442023,0.2280266265383526,0.11227291930713984,0.021780554976306727,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,15.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
