symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
1871.T,ピーエス・コンストラクション,プライム,6,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,12.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7326.T,ＳＢＩインシュアランスグループ,グロース,6,7,8,True,True,True,False,True,True,True,True,False,True,False,True,0.1503156872268092,0.22552125490625952,1.094209161624892,0.29558345307418893,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満,17.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1893.T,五洋建設,プライム,5,5,8,True,True,False,False,True,True,False,True,False,False,False,True,-0.30792402924212925,2.6488054098194813,1.5408815612382234,0.17920183306658682,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,16.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5724.T,アサカ理研,スタンダード,5,4,8,True,False,False,False,True,True,False,True,False,False,True,False,0.6090225563909775,0.052999662941750625,4.037037037037037,0.15208747514910537,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,58.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
6039.T,日本動物高度医療センター,グロース,5,5,8,True,True,False,False,True,True,False,True,False,True,True,False,0.47239263803680975,0.1611694995742754,0.6467661691542289,0.18271417740712662,True,True,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,20.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース,4,7,8,True,True,True,False,True,True,True,True,False,True,False,False,0.135,0.06536378763312589,0.7608695652173914,0.09112709832134293,False,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達,27.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2173.T,博展,グロース,4,5,8,True,True,True,True,False,False,False,True,False,True,True,True,0.3342995169082126,0.3839780649733302,-3.872340425531915,0.6688264938804895,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,8.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3110.T,日東紡績,プライム,4,5,8,True,True,False,True,False,True,False,True,False,False,True,True,0.8014766201804757,0.7016653823086425,0.6310975609756098,0.08334570834570834,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,13.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3141.T,ウエルシアホールディングス,プライム,4,1,7,True,False,False,False,False,False,False,,False,True,False,False,-0.14488231845213162,-0.1150801794277696,1.4801040710131619,0.13005112655627532,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4570.T,免疫生物研究所,グロース,4,2,8,True,False,False,False,False,False,False,True,False,False,True,,0.6719999999999999,,10.5,0.2744186046511628,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,35.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1332.T,ニッスイ,プライム,3,3,8,True,False,False,False,False,True,False,True,False,True,False,False,0.10443325094640676,0.12734969672665342,0.4673548733074139,0.03372144811350767,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1662.T,石油資源開発,プライム,3,4,8,True,True,False,False,False,True,False,True,False,True,False,False,-0.06666376002790375,-0.12105916566800401,0.3103187466234468,-0.09395481246215782,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,9.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1762.T,高松コンストラクショングループ,プライム,3,3,8,True,False,False,False,False,True,False,True,False,True,False,False,-0.06109637488947839,-0.050072456160362044,4.1520979020979025,0.09318714807804483,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,16.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1963.T,日揮ホールディングス,プライム,3,3,8,True,True,False,False,False,False,False,True,False,False,True,False,30.620111731843576,-0.5268272989031477,5.928074245939675,-0.054852549828925214,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,15.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2282.T,日本ハム,プライム,3,3,8,True,False,False,False,False,True,False,True,False,False,False,True,-0.083770536220104,0.29555340409724984,1.1898091981912429,0.0654802870907482,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,19.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2288.T,丸大食品,プライム,3,3,8,True,False,False,False,False,True,False,True,False,False,True,,0.6641934597416872,,0.7038081805359662,0.010871008431255394,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,9.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2914.T,ＪＴ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.6239291764331139,-0.37237735365958724,0.5313733071036263,0.1876709905037552,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,17.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
319A.T,技術承継機構,グロース,3,4,4,True,True,True,True,,,,,False,True,True,True,0.6717062634989202,0.6915578137735234,,,,,,,年率5–10%の安定成長は未達; 四半期データ不足,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3391.T,ツルハホールディングス,プライム,3,2,7,True,False,False,False,False,True,False,,False,False,False,False,-0.20279779210382165,-0.08994060490166123,1.3100263852242744,0.12611851635490964,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3769.T,ＧＭＯペイメントゲートウェイ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,True,0.1602312390924956,0.24353337973876688,0.41717028083896196,0.09740160294042575,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,30.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
