symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest,market_strength_ratio
1950.T,日本電設工業,プライム,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.30201342281879184,0.3339140867355459,2.0985678180286436,0.1307316844229596,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,14.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5582.T,グリッド,グロース,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.2441860465116279,0.4484609817617713,2.0256410256410255,0.34375,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,53.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,6,5,8,True,True,True,True,True,False,False,False,False,True,True,True,0.202020202020202,2.073181485764296,4.126984126984127,1.3278688524590163,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満; PER>60,63.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1384.T,ホクリヨウ,スタンダード,6,5,8,True,True,False,False,True,True,False,True,False,True,False,True,-0.13601036269430056,0.20285271907012925,9.457627118644067,0.2586436170212766,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,11.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,14.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3021.T,パシフィックネット,スタンダード,6,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.21698113207547176,0.22237821242383649,0.23076923076923078,0.19939577039274925,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,13.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4495.T,アイキューブドシステムズ,グロース,6,5,8,True,False,False,True,True,True,False,True,False,False,True,True,0.312874251497006,0.20002736695668388,0.6273584905660378,0.17054263565891473,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,19.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5599.T,Ｓ＆Ｊ,グロース,6,7,8,True,True,True,False,True,True,True,True,False,True,True,False,0.3260188087774294,0.14793597789501933,0.5612244897959183,0.24342105263157895,True,True,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満,28.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1802.T,大林組,プライム,5,5,8,True,True,False,True,False,True,False,True,False,True,True,True,0.6635087144184013,0.22892140210161616,1.2912611270825396,-0.020795222582146427,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1893.T,五洋建設,プライム,5,5,8,True,True,False,False,True,True,False,True,False,False,False,True,-0.30792402924212925,2.6488054098194813,1.5408815612382234,0.17920183306658682,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,19.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4482.T,ウィルズ,グロース,5,5,8,True,True,True,False,True,False,False,True,False,True,False,True,0.141602634467618,0.22503938741638052,0.5054151624548736,0.3319644079397673,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,22.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1719.T,安藤・間,プライム,4,6,8,True,True,False,True,True,True,False,True,False,False,True,True,0.8362361822593691,0.31783500730825476,0.12872919070380748,0.042400566116383445,False,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,16.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
