symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
1814.T,大末建設,プライム,6,6,8,True,True,False,True,True,True,False,True,False,False,True,True,1.3158551810237205,0.3832416277433317,1.9087779690189328,0.20807335980336547,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,10.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1429.T,日本アクア,プライム,5,5,8,True,True,False,False,True,True,False,True,False,True,False,False,-0.10730202262598565,0.05064626148175044,0.38072289156626504,0.24005847953216375,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,14.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1719.T,安藤・間,プライム,5,6,8,True,True,False,True,True,True,False,True,False,False,True,True,0.8362361822593691,0.31783500730825476,0.3136563876651982,0.11688528898764725,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,15.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1768.T,ソネック,スタンダード,5,5,8,True,True,False,False,True,True,False,True,False,False,True,False,1.324921135646688,-0.14279779913924717,8.566666666666666,0.6410256410256411,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,9.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1802.T,大林組,プライム,5,5,8,True,True,False,True,False,True,False,True,False,True,True,True,0.6635087144184013,0.22892140210161616,1.2912611270825396,-0.020795222582146427,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,13.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1811.T,錢高組,スタンダード,5,3,8,True,True,False,False,False,False,False,True,False,True,False,True,0.022462896109105568,0.3320855049700602,2.121245828698554,0.2237056703963588,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,37.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1975.T,朝日工業社,プライム,5,7,8,True,True,True,True,False,True,True,True,False,True,True,True,0.5486111111111112,0.5571410339311871,0.9354536950420954,-0.042986302853121106,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足,13.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3566.T,ユニフォームネクスト,グロース,5,5,8,True,True,False,False,True,True,False,True,False,True,False,False,-0.09143968871595332,0.06855476740948818,2.1058823529411765,0.30843373493975906,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,18.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5280.T,ヨシコン,スタンダード,5,4,8,True,True,False,True,False,False,False,True,False,False,True,True,0.43295834600182426,0.658224437376955,2.333951762523191,1.4574936298355339,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,5.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1815.T,鉄建建設,プライム,4,5,8,True,True,False,True,False,True,False,True,False,False,True,True,0.32835820895522394,0.7708052674805288,2.5035335689045937,0.007104432893751277,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1867.T,植木組,スタンダード,4,3,8,True,True,False,False,False,False,False,True,False,True,False,False,0.11152976639035428,0.1760223629754969,0.8048780487804879,0.23266917638417042,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,10.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
