symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
1948.T,弘電社,スタンダード,7,8,9,True,True,True,True,True,True,False,True,True,False,True,True,True,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,19.4,40900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,9,True,True,False,True,False,False,False,True,False,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,16.8,134800000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1965.T,テクノ菱和,スタンダード,6,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.5586758707248196,0.6712522429605854,1.7510121457489878,0.2283029884813419,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 時価総額>=500億,14.1,141000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3020.T,アプライド,スタンダード,6,7,9,True,True,False,True,True,True,False,True,True,False,False,True,True,0.2553688141923436,0.23852404661075766,0.8507751937984496,0.11454776075714704,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,6.4,12500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3021.T,パシフィックネット,スタンダード,6,9,9,True,True,True,True,True,True,True,True,True,False,True,True,True,0.21698113207547176,0.22237821242383649,0.23076923076923078,0.19939577039274925,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,14.4,9000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1770.T,藤田エンジニアリング,スタンダード,5,5,9,True,True,False,True,False,False,False,True,True,False,True,True,True,0.3312020460358056,0.28273778599057753,0.1195079086115993,-0.2316185696361355,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,10.3,18400000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1980.T,ダイダン,プライム,5,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.9700453096157073,0.5899325279970589,0.6559294214197784,-0.04984820291842131,False,True,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 時価総額>=500億,15.6,341500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3003.T,ヒューリック,プライム,5,6,8,True,True,True,False,True,True,False,True,,False,True,False,False,0.12290722294578615,0.11912769750845409,0.48978254393803994,0.1271553485331372,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 公式スコア上限8/9: データ不足; 揺るぎない成長要件未満,11.8,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
7685.T,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース,5,5,9,True,True,False,False,True,True,False,True,False,False,False,True,False,0.5243282498184458,0.06922691107352619,1.6217882836587874,0.6562378797672915,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,25.1,130400000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1801.T,大成建設,プライム,4,5,8,True,True,False,True,False,True,False,True,,False,False,True,True,2.456823438704703,0.4597165057735433,0.9760177440968532,-0.05593517407932412,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,17.2,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
