symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
1723.T,日本電技,スタンダード,7,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.4716951296647691,0.42040806537674125,0.868020304568528,0.21431958274063537,True,True,True,True,年率5–10%の安定成長は未達; 時価総額>=500億,15.0,112500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1948.T,弘電社,スタンダード,7,8,9,True,True,True,True,True,True,False,True,True,False,True,True,True,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,14.6,30800000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3153.T,八洲電機,プライム,7,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.3368997263000746,0.35440558029356617,2.4926686217008798,0.2019457084575553,True,True,True,True,年率5–10%の安定成長は未達; 時価総額>=500億,13.0,61000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,9,True,True,False,True,False,False,False,True,False,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,15.4,123100000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1965.T,テクノ菱和,スタンダード,6,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.5586758707248196,0.6712522429605854,1.7510121457489878,0.2283029884813419,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 時価総額>=500億,13.3,133300000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2436.T,共同ピーアール,スタンダード,6,7,9,True,True,True,True,True,False,False,True,True,False,True,True,True,0.25522041763341075,0.21248038980107786,0.3172690763052209,0.19650145772594751,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,12.0,8820000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1832.T,北海電工,札証,5,6,9,True,True,True,True,False,False,False,True,True,False,True,True,True,0.20355731225296436,0.5896449145506824,0.4928684627575277,0.04503337005118901,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.7,22800000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
202A.T,豆蔵,グロース,5,7,9,True,True,True,False,True,True,True,True,False,False,True,False,False,0.12692307692307692,0.13611130558515883,0.30892448512585813,0.1459395841506473,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 時価総額>=500億,20.1,64600000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4385.T,メルカリ,プライム,5,3,8,True,False,False,True,False,True,False,,False,False,False,True,True,0.6278159762982838,0.33280454753687416,0.5976002865329513,0.10052533167126702,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満; 時価総額>=500億,,485200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4503.T,アステラス製薬,プライム,5,4,8,True,False,False,False,True,True,False,True,,False,False,True,False,0.2510312787856943,-0.5142032120307141,1.7029340804731885,0.13367221841438973,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 公式スコア上限8/9: データ不足; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,20.0,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
