symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
3741.T,セック,プライム,7,8,9,True,True,True,True,True,True,False,True,True,False,True,True,True,0.22365869424692963,0.21705408970883266,0.3247663551401869,0.3021148036253776,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,23.2,32500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
7326.T,ＳＢＩインシュアランスグループ,グロース,6,7,9,True,True,True,False,True,True,True,True,False,False,True,False,True,0.1503156872268092,0.22552125490625952,1.094209161624892,0.29558345307418893,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 時価総額>=500億,20.7,51900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4495.T,アイキューブドシステムズ,グロース,6,6,9,True,False,False,True,True,True,False,True,True,False,False,True,True,0.312874251497006,0.20002736695668388,0.6273584905660378,0.17054263565891473,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,20.4,15600000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4107.T,伊勢化学工業,スタンダード,4,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.45339065858901706,0.42605544293798747,0.11830742659758203,0.15984889368591473,False,True,False,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 時価総額>=500億,35.7,219300000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5834.T,ＳＢＩリーシングサービス,グロース,4,8,9,True,True,True,True,False,True,True,True,True,False,True,True,True,0.23058252427184467,0.312454496865326,0.6112913692407528,-0.10926246440734744,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 売上YoY+10%不足,9.3,44700000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
7068.T,フィードフォースグループ,グロース,5,6,9,True,True,True,True,False,False,False,True,True,False,True,True,True,0.30960548885077177,0.22354355195449083,0.5126582278481012,0.09099181073703366,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,13.2,19200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1418.T,インターライフホールディングス,スタンダード,4,7,9,True,True,True,True,True,False,False,True,True,False,True,True,True,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常YoY+20%不足; 揺るぎない成長要件未満,13.8,11500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,9,True,True,False,True,False,False,False,True,False,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,17.1,136800000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5870.T,ナルネットコミュニケーションズ,グロース,5,5,9,True,False,False,False,True,True,False,True,True,False,True,False,False,-0.15851272015655582,-0.06512902503211793,1.6633663366336633,0.18819938962360122,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,14.1,6060000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1949.T,住友電設,プライム,5,4,9,True,True,False,False,False,True,False,True,False,False,True,True,False,0.40082950673974227,0.1463069965952577,0.5174378846592205,0.11873990306946688,True,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満; 時価総額>=500億,22.9,347100000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
