symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
1950.T,日本電設工業,プライム,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.30201342281879184,0.3339140867355459,2.0985678180286436,0.1307316844229596,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,13.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3047.T,ＴＲＵＣＫ－ＯＮＥ,福証Ｑ,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.5918367346938775,0.3276715950892297,1.7777777777777777,0.5290780141843971,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,3.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1434.T,ＪＥＳＣＯホールディングス,スタンダード,6,6,8,True,True,False,True,True,True,False,True,False,False,True,True,0.39488870568837586,0.8304357539954661,2.287272727272727,0.9161693662972435,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,9.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
6580.T,ライトアップ,グロース,6,6,8,True,True,False,True,True,True,False,True,False,False,True,True,1.3089171974522293,1.2675634437940664,0.4120603015075377,0.21272365805168986,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,30.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
9558.T,ジャパニアス,グロース,6,6,8,True,True,True,False,True,True,False,True,False,True,False,True,0.17067583046964496,0.28910380415472314,1.118881118881119,0.1053763440860215,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 揺るぎない成長要件未満,11.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,5,6,8,True,True,True,True,True,False,False,True,False,True,True,True,0.38127544097693344,0.23819729046726712,0.2558139534883721,0.8492336565530184,True,False,True,False,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 経常利益率のYoY改善なし; 経常YoY+20%不足; 揺るぎない成長要件未満,16.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1802.T,大林組,プライム,5,5,8,True,True,False,True,False,True,False,True,False,True,True,True,0.6635087144184013,0.22892140210161616,1.2912611270825396,-0.020795222582146427,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1893.T,五洋建設,プライム,5,5,8,True,True,False,False,True,True,False,True,False,False,False,True,-0.30792402924212925,2.6488054098194813,1.5408815612382234,0.17920183306658682,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,17.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2112.T,塩水港精糖,スタンダード,5,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.43488481429243064,1.0433067804857905,0.08392857142857142,0.003438614365766684,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,6.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4482.T,ウィルズ,グロース,5,5,8,True,True,True,False,True,False,False,True,False,True,False,True,0.141602634467618,0.22503938741638052,0.5054151624548736,0.3319644079397673,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,20.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7685.T,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース,5,5,8,True,True,False,False,True,True,False,True,False,False,True,False,0.5243282498184458,0.06922691107352619,1.6217882836587874,0.6562378797672915,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,24.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
