symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
3496.T,アズーム,プライム,7,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.42692939244663375,0.4276943582608468,0.5940766550522648,0.2690884628321561,True,True,True,True,年率5–10%の安定成長は未達,30.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1434.T,ＪＥＳＣＯホールディングス,スタンダード,6,6,8,True,True,False,True,True,True,False,True,False,False,True,True,0.39488870568837586,0.8304357539954661,2.287272727272727,0.9161693662972435,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,9.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1841.T,サンユー建設,スタンダード,6,5,8,True,True,True,True,False,False,False,True,False,True,True,True,0.2707964601769912,1.0027913481832154,0.32941176470588235,0.237928007023705,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,20.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1969.T,高砂熱学工業,プライム,6,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.33728489483747603,0.44772045507147706,0.8488570038910506,0.12068830660930778,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,17.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2112.T,塩水港精糖,スタンダード,5,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.43488481429243064,1.0433067804857905,0.08392857142857142,0.003438614365766684,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,5.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4482.T,ウィルズ,グロース,5,5,8,True,True,True,False,True,False,False,True,False,True,False,True,0.141602634467618,0.22503938741638052,0.5054151624548736,0.3319644079397673,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,20.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5015.T,ビーピー・カストロール,スタンダード,5,5,8,True,False,False,True,True,True,False,True,False,False,True,True,0.20890410958904115,0.22496177476199453,1.165,0.040187738339689055,False,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,21.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5137.T,スマートドライブ,グロース,5,4,8,True,False,False,False,True,True,False,True,False,False,True,,1.1637426900584797,,2.4324324324324325,0.3275563258232236,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,22.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
6039.T,日本動物高度医療センター,グロース,5,5,8,True,True,False,False,True,True,False,True,False,True,True,False,0.47239263803680975,0.1611694995742754,0.6467661691542289,0.18271417740712662,True,True,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,19.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
155A.T,情報戦略テクノロジー,グロース,4,5,8,True,True,True,False,True,False,False,True,False,True,False,False,0.02857142857142847,0.09214059733046698,2.3559322033898304,0.48484848484848486,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,44.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2180.T,サニーサイドアップグループ,スタンダード,4,5,8,True,True,True,False,True,False,False,True,False,True,False,False,0.08927381745503005,0.10667027660617845,2.2176165803108807,0.4767599891274803,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,11.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3141.T,ウエルシアホールディングス,プライム,4,1,7,True,False,False,False,False,False,False,,False,True,False,False,-0.14488231845213162,-0.1150801794277696,1.4801040710131619,0.13005112655627532,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3968.T,セグエグループ,プライム,4,5,8,True,True,True,False,True,False,False,True,False,True,False,False,0.044334975369458185,0.004750620564033081,1.9209621993127148,0.4270927909932813,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,29.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4570.T,免疫生物研究所,グロース,4,2,8,True,False,False,False,False,False,False,True,False,False,True,,0.6719999999999999,,10.5,0.2744186046511628,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,24.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4966.T,上村工業,スタンダード,4,4,8,True,True,True,False,False,False,False,True,False,True,True,False,0.2627433684077878,0.12510175835336024,0.12236379613356767,0.03888167075694144,False,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,17.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7363.T,ベビーカレンダー,グロース,4,4,8,True,False,False,False,True,True,False,True,False,False,False,False,-2.8076923076923075,0.1426091000668408,43.0,0.33707865168539325,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,33.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2282.T,日本ハム,プライム,3,3,8,True,False,False,False,False,True,False,True,False,False,False,True,-0.083770536220104,0.29555340409724984,1.1898091981912429,0.0654802870907482,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,19.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2413.T,エムスリー,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.05890470656595004,-0.06633683626941311,0.6518950437317784,0.39721168124071937,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,41.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2768.T,双日,プライム,3,2,8,True,False,False,False,False,False,False,True,False,True,False,False,0.07810483035586224,-0.06581557812736649,0.06047794117647059,0.049101849292551965,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,8.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2784.T,アルフレッサ　ホールディングス,プライム,3,4,8,True,True,True,False,False,False,False,True,False,True,False,False,0.012200915068630191,0.11046536151251707,0.08763000663863686,0.05130042643632747,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2981.T,ランディックス,グロース,3,5,8,True,True,False,False,True,True,False,True,False,False,True,False,0.7822784810126582,0.14783693612817328,0.2161422708618331,0.0837404047452896,False,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,10.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
