symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
1723.T,日本電技,スタンダード,7,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.4716951296647691,0.42040806537674125,0.868020304568528,0.21431958274063537,True,True,True,True,年率5–10%の安定成長は未達; 時価総額>=500億,18.7,140700000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1736.T,オーテック,スタンダード,6,9,9,True,True,True,True,True,True,True,True,True,False,True,True,True,0.9429360331339163,0.4393188880957022,0.8724035608308606,0.21040858932299433,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,13.8,44200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1950.T,日本電設工業,プライム,7,7,9,True,True,True,True,True,True,False,True,False,False,True,True,True,0.30201342281879184,0.3339140867355459,2.0985678180286436,0.1307316844229596,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満; 時価総額>=500億,15.3,216300000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5599.T,Ｓ＆Ｊ,グロース,6,8,9,True,True,True,False,True,True,True,True,True,False,True,True,False,0.3260188087774294,0.14793597789501933,0.5612244897959183,0.24342105263157895,True,True,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満,32.7,11600000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1942.T,関電工,プライム,6,7,8,True,True,True,True,True,True,False,True,,False,True,True,True,0.39509472894391306,0.32170714389206956,0.3708833079318799,0.10891459119815551,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 公式スコア上限8/9: データ不足; 揺るぎない成長要件未満,24.6,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5578.T,ＡＲアドバンストテクノロジ,グロース,6,6,9,True,True,False,True,False,True,False,True,True,False,True,True,True,0.734375,0.23069894086284792,1.9027777777777777,0.33182922596320724,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,22.5,14000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5834.T,ＳＢＩリーシングサービス,グロース,4,8,9,True,True,True,True,False,True,True,True,True,False,True,True,True,0.23058252427184467,0.312454496865326,0.6112913692407528,-0.10926246440734744,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 売上YoY+10%不足,9.8,47200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
6039.T,日本動物高度医療センター,グロース,5,6,9,True,True,False,False,True,True,False,True,True,False,True,True,False,0.47239263803680975,0.1611694995742754,0.6467661691542289,0.18271417740712662,True,True,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,22.1,17900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
9227.T,マイクロ波化学,グロース,5,6,8,True,True,False,True,True,True,False,,True,False,False,True,True,0.3999999999999999,1.6457513110645907,45.285714285714285,0.15625,True,True,True,False,年率5–10%の安定成長は未達; 途中に大幅減益あり; 経常利益率のYoY改善なし; 公式スコア上限8/9: データ不足; 過去に減益あり; 揺るぎない成長要件未満,,13800000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1802.T,大林組,プライム,5,5,8,True,True,False,True,False,True,False,True,,False,True,True,True,0.6635087144184013,0.22892140210161616,1.2912611270825396,-0.020795222582146427,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,15.8,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
