symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
1736.T,オーテック,スタンダード,6,9,9,True,True,True,True,True,True,True,True,True,False,True,True,True,0.9429360331339163,0.4393188880957022,0.8724035608308606,0.21040858932299433,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,13.3,42600000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1835.T,東鉄工業,プライム,5,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.32454981001156447,0.3000798639226787,0.4200283085633404,0.018920127438376837,False,True,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 時価総額>=500億,13.5,170200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
7361.T,ヒューマンクリエイションホールディングス,グロース,5,6,9,True,True,False,False,True,True,False,True,True,False,True,True,False,0.22893481717011133,0.05010019221725792,0.3333333333333333,0.39169295478443744,True,True,True,False,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常利益率のYoY改善なし; 過去に減益あり; 揺るぎない成長要件未満,9.9,5010000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1870.T,矢作建設工業,プライム,5,5,9,True,True,False,False,True,True,False,True,False,False,True,False,False,-0.10137672090112637,0.08946792055133779,6.857664233576642,0.5101011673151751,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,15.4,105500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1719.T,安藤・間,プライム,4,6,9,True,True,False,True,True,True,False,True,False,False,False,True,True,0.8362361822593691,0.31783500730825476,0.12872919070380748,0.042400566116383445,False,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,17.0,354000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1847.T,イチケン,スタンダード,4,6,9,True,True,False,True,False,True,False,True,True,False,False,True,True,0.6838308457711442,0.6181992044792186,0.7702127659574468,0.09565534866739686,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,8.4,37200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1979.T,大氣社,プライム,4,6,9,True,True,True,False,False,True,True,True,False,False,True,False,True,0.004332057223453534,0.23837568630660355,0.6112676056338028,0.07920438110405122,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 時価総額>=500億,15.8,227700000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3551.T,ダイニック,スタンダード,4,6,9,True,True,False,True,False,True,False,True,True,False,False,True,True,0.506720430107527,0.4661407000193112,0.2153846153846154,0.0048672972724768115,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,5.9,9720000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1938.T,日本リーテック,プライム,5,4,9,True,True,False,True,False,False,False,True,False,False,True,True,True,0.5230179028132993,0.39025681851290206,0.203240058910162,0.04602084922451055,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,13.6,59200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1815.T,鉄建建設,プライム,4,5,9,True,True,False,True,False,True,False,True,False,False,False,True,True,0.32835820895522394,0.7708052674805288,46.72727272727273,-0.07305995328315598,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満; 時価総額>=500億,14.9,70500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
