symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
6180.T,ＧＭＯメディア,グロース,7,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.40555555555555545,0.5723589614280391,0.4327485380116959,0.10677749360613811,True,True,True,True,年率5–10%の安定成長は未達,16.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7792.T,コラントッテ,グロース,7,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.22207357859531762,0.3337795423440346,0.3076923076923077,0.2689133425034388,True,True,True,True,年率5–10%の安定成長は未達,11.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,6,6,8,True,True,True,True,True,False,False,True,False,True,True,True,0.202020202020202,2.073181485764296,4.126984126984127,1.3278688524590163,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,59.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1736.T,オーテック,スタンダード,6,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.9429360331339163,0.4393188880957022,0.8724035608308606,0.21040858932299433,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,11.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5038.T,ｅＷｅＬＬ,グロース,6,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.25054945054945055,0.2974713687256154,0.4,0.34548335974643424,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,43.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7326.T,ＳＢＩインシュアランスグループ,グロース,6,7,8,True,True,True,False,True,True,True,True,False,True,False,True,0.1503156872268092,0.22552125490625952,1.094209161624892,0.29558345307418893,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満,16.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1788.T,三東工業社,スタンダード,5,5,8,True,True,False,False,True,True,False,True,False,False,True,False,0.625,-0.008759292838069643,4.8,0.3329305135951662,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,13.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1811.T,錢高組,スタンダード,5,3,8,True,True,False,False,False,False,False,True,False,True,False,True,0.022462896109105568,0.3320855049700602,2.121245828698554,0.2237056703963588,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,38.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1860.T,戸田建設,プライム,5,4,8,True,False,False,False,True,True,False,True,False,False,False,True,0.14146686025978106,0.2360466555227272,1.5238289205702649,0.17489354850252264,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,15.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
5280.T,ヨシコン,スタンダード,5,4,8,True,True,False,True,False,False,False,True,False,False,True,True,0.43295834600182426,0.658224437376955,2.333951762523191,1.4574936298355339,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,5.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
