symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
1736.T,オーテック,スタンダード,7,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.9429360331339163,0.4393188880957022,3.4100719424460433,0.1441425546930134,True,True,True,True,年率5–10%の安定成長は未達,13.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3153.T,八洲電機,プライム,7,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.3368997263000746,0.35440558029356617,2.4926686217008798,0.2019457084575553,True,True,True,True,年率5–10%の安定成長は未達,12.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1384.T,ホクリヨウ,スタンダード,6,5,8,True,True,False,False,True,True,False,True,False,True,False,True,-0.13601036269430056,0.20285271907012925,3.9185185185185185,0.3367533059735522,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,11.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1777.T,川崎設備工業,名証Ｍ,6,6,8,True,True,False,True,True,True,False,True,False,True,True,True,1.0184638109305761,0.5952093083448853,1.2311015118790496,0.4033390544546731,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,10.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1942.T,関電工,プライム,6,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.39509472894391306,0.32170714389206956,0.3708833079318799,0.10891459119815551,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 揺るぎない成長要件未満,21.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1768.T,ソネック,スタンダード,5,5,8,True,True,False,False,True,True,False,True,False,False,True,False,1.324921135646688,-0.14279779913924717,8.566666666666666,0.6410256410256411,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,9.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1949.T,住友電設,プライム,5,4,8,True,True,False,False,False,True,False,True,False,True,True,False,0.40082950673974227,0.1463069965952577,0.5174378846592205,0.11873990306946688,True,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,22.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2317.T,システナ,プライム,5,7,8,True,True,True,False,True,True,True,True,False,True,False,False,0.19241601287467303,0.0912648005374379,0.5150416817687568,0.19994102034797995,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,18.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
9271.T,和心,グロース,5,5,8,True,True,False,False,True,True,False,True,False,False,True,,34.36363636363637,,0.6271186440677966,0.28547008547008546,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,14.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1418.T,インターライフホールディングス,スタンダード,4,6,8,True,True,True,True,True,False,False,True,False,True,True,True,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常YoY+20%不足; 揺るぎない成長要件未満,11.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1798.T,守谷商会,スタンダード,4,5,8,True,True,False,False,True,True,False,True,False,False,False,True,0.04311482622085361,0.35101820581949794,1.6608863198458574,0.07095892750405601,False,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 過去に減益あり; 揺るぎない成長要件未満,6.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2875.T,東洋水産,プライム,4,4,8,True,True,True,False,False,False,False,True,False,True,False,True,0.12057845611505025,0.3853841263593225,0.06280038449214995,0.013671662231352227,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,16.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4186.T,東京応化工業,プライム,4,5,8,True,True,False,False,True,True,False,True,False,False,True,False,0.4243198680956306,0.05634701572553413,0.3056622475529674,0.15350268509020695,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,25.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1802.T,大林組,プライム,3,5,8,True,True,False,True,False,True,False,True,False,True,True,True,0.6760421788777795,0.23354227938432248,-0.09092706068392963,-0.08399572571096782,False,False,False,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,18.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1959.T,クラフティア,プライム,3,3,8,True,False,True,False,False,False,False,True,False,True,False,False,0.0489117605401066,0.11937626145487923,0.42199108469539376,-0.04407750361291013,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,18.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2737.T,トーメンデバイス,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,0.18926325971304214,0.0581083410957659,0.5195402298850574,0.3474975578923174,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,10.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2914.T,ＪＴ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.6239291764331139,-0.37237735365958724,0.5313733071036263,0.1876709905037552,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,16.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3626.T,ＴＩＳ,プライム,3,5,8,True,True,True,False,False,False,True,True,False,True,False,False,0.028445144632619934,0.05616437985097544,0.16502341631747597,0.04739122138753242,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足,24.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4220.T,リケンテクノス,プライム,3,4,8,True,True,True,False,False,False,False,True,False,True,False,False,0.10928331936295055,0.1529774963031223,0.7327635327635328,0.026851504933183463,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,10.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
