symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
3003.T,ヒューリック,プライム,5,6,8,True,True,True,False,True,True,False,True,,False,True,False,False,0.12290722294578615,0.11912769750845409,0.48978254393803994,0.1271553485331372,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 公式スコア上限8/9: データ不足; 揺るぎない成長要件未満,11.9,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1418.T,インターライフホールディングス,スタンダード,4,7,9,True,True,True,True,True,False,False,True,True,False,True,True,True,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常YoY+20%不足; 揺るぎない成長要件未満,13.7,11500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2429.T,ワールドホールディングス,プライム,5,5,9,True,False,False,False,True,True,False,True,True,False,True,False,False,-0.1658374792703151,-0.02161499891726182,0.4225941422594142,0.13316756685548675,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,8.9,48100000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
256A.T,飛島ホールディングス,プライム,5,5,9,True,True,False,False,False,True,False,True,True,False,True,False,True,0.19999999999999996,0.24833312848519995,0.4584837545126354,0.11230779212353208,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,11.8,46100000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5870.T,ナルネットコミュニケーションズ,グロース,5,5,9,True,False,False,False,True,True,False,True,True,False,True,False,False,-0.15851272015655582,-0.06512902503211793,1.6633663366336633,0.18819938962360122,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,14.6,6260000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1719.T,安藤・間,プライム,4,6,9,True,True,False,True,True,True,False,True,False,False,False,True,True,0.8362361822593691,0.31783500730825476,0.12872919070380748,0.042400566116383445,False,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,16.5,342900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1847.T,イチケン,スタンダード,4,6,9,True,True,False,True,False,True,False,True,True,False,False,True,True,0.6838308457711442,0.6181992044792186,0.7702127659574468,0.09565534866739686,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,8.0,35400000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3076.T,あい　ホールディングス,プライム,4,5,9,True,True,False,False,True,True,False,True,False,False,False,False,False,-0.5463336019339242,-0.0746053993884801,0.9023372287145242,0.8062733915523079,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,14.8,162000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4379.T,Ｐｈｏｔｏｓｙｎｔｈ,グロース,4,5,9,True,False,False,False,True,True,False,True,True,False,False,False,,-1.40990990990991,,22.333333333333332,0.12266666666666666,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,23.5,6650000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5537.T,ＡｌｂａＬｉｎｋ,グロース,3,6,6,True,True,True,True,,,,True,True,False,True,True,True,0.3090452261306533,0.8333822085371738,,,,,,,年率5–10%の安定成長は未達; 四半期データ不足; 公式スコア上限6/9: データ不足,25.1,21200000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
