symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,official_rule9_small_cap,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,market_cap,digest,market_strength_ratio
1723.T,日本電技,スタンダード,7,8,9,True,True,True,True,True,True,True,True,False,False,True,True,True,0.4716951296647691,0.42040806537674125,0.868020304568528,0.21431958274063537,True,True,True,True,年率5–10%の安定成長は未達; 時価総額>=500億,15.3,114900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1948.T,弘電社,スタンダード,7,8,9,True,True,True,True,True,True,False,True,True,False,True,True,True,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,15.4,32400000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,9,True,True,False,True,False,False,False,True,False,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,15.7,126100000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3020.T,アプライド,スタンダード,6,7,9,True,True,False,True,True,True,False,True,True,False,False,True,True,0.2553688141923436,0.23852404661075766,0.8507751937984496,0.11454776075714704,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,6.4,12500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3021.T,パシフィックネット,スタンダード,6,9,9,True,True,True,True,True,True,True,True,True,False,True,True,True,0.21698113207547176,0.22237821242383649,0.23076923076923078,0.19939577039274925,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,13.7,8570000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1944.T,きんでん,プライム,5,7,8,True,True,True,True,False,True,True,True,,False,True,True,True,0.40372319603323037,0.26645421133703606,1.4073121965152813,0.09205320517488289,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 売上YoY+10%不足,20.1,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1801.T,大成建設,プライム,4,5,8,True,True,False,True,False,True,False,True,,False,False,True,True,2.456823438704703,0.4597165057735433,0.9760177440968532,-0.05593517407932412,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,16.6,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1860.T,戸田建設,プライム,4,4,9,True,False,False,False,True,True,False,True,False,False,False,False,True,0.14146686025978106,0.2360466555227272,0.6962495358336428,0.21694870745251907,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満; 時価総額>=500億,13.0,396900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1909.T,日本ドライケミカル,スタンダード,4,6,9,True,True,True,False,False,True,True,True,False,False,True,False,True,0.12297297297297294,0.21353130484882898,0.7050487156775908,0.06999689247980112,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 時価総額>=500億,15.6,67000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3002.T,グンゼ,プライム,4,4,9,True,True,True,False,False,False,False,True,False,False,True,True,False,0.20755831118984358,0.16558067470722726,-0.02007168458781362,-0.027012696261819895,False,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,48.0,143900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3082.T,きちりホールディングス,スタンダード,4,4,9,True,False,False,False,True,False,False,True,True,False,False,True,,0.2404494382022473,,1.2432432432432432,0.14293567894447498,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,31.2,11000000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3157.T,,,4,3,7,True,False,False,False,True,True,False,,,False,False,False,False,-0.29323499491353,-0.20108594605248353,2.9948453608247423,0.11639295607439652,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 公式スコア上限7/9: データ不足; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3407.T,旭化成,プライム,4,4,8,True,True,False,True,False,False,False,True,,False,False,True,True,1.1467298430946093,0.264973183381088,0.12246694272740002,-0.008421261930010604,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 公式スコア上限8/9: データ不足; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,13.5,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
7317.T,松屋アールアンドディ,グロース,4,6,9,True,True,True,True,False,False,False,True,True,False,True,True,True,0.5715378729915839,0.7444090583813656,-0.03436988543371522,-0.09665287702143663,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.6,18500000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1820.T,西松建設,プライム,3,3,9,True,False,False,False,False,True,False,True,False,False,False,False,True,0.03304729798753714,0.23894626869334745,0.8054508553203827,0.05214416261757233,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満; 時価総額>=500億,12.9,240300000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2207.T,ｍｅｉｔｏ,プライム,3,5,9,True,True,False,True,False,False,False,True,True,False,True,True,True,0.8678321678321679,0.5360796320641723,-0.0695517774343122,0.030960945529290854,False,False,False,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,14.2,40900000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2768.T,双日,プライム,3,2,9,True,False,False,False,False,False,False,True,False,False,True,False,False,0.07810483035586224,-0.06581557812736649,0.06047794117647059,0.049101849292551965,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満; 時価総額>=500億,8.6,999400000000.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
