symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest,market_strength_ratio
1948.T,弘電社,スタンダード,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,14.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1871.T,ピーエス・コンストラクション,プライム,6,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,15.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1965.T,テクノ菱和,スタンダード,6,8,8,True,True,True,True,True,True,True,True,False,True,True,True,0.5586758707248196,0.6712522429605854,1.7510121457489878,0.2283029884813419,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,13.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2436.T,共同ピーアール,スタンダード,6,6,8,True,True,True,True,True,False,False,True,False,True,True,True,0.25522041763341075,0.21248038980107786,0.3172690763052209,0.19650145772594751,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,12.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
6101.T,ツガミ,プライム,6,5,8,True,True,False,False,True,True,False,True,False,True,True,False,0.7186661833997825,0.19991194187139505,0.684155022409702,0.17465924202127658,True,True,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,11.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1832.T,北海電工,札証,5,5,8,True,True,True,True,False,False,False,True,False,True,True,True,0.20355731225296436,0.5896449145506824,0.4928684627575277,0.04503337005118901,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
202A.T,豆蔵,グロース,5,7,8,True,True,True,False,True,True,True,True,False,True,False,False,0.12692307692307692,0.13611130558515883,0.30892448512585813,0.1459395841506473,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,19.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4385.T,メルカリ,プライム,5,3,7,True,False,False,True,False,True,False,,False,False,True,True,0.6278159762982838,0.33280454753687416,0.5976002865329513,0.10052533167126702,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2–3Qの連続クリア未達; 公式スコア上限7/8: データ不足; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4503.T,アステラス製薬,プライム,5,4,8,True,False,False,False,True,True,False,True,False,False,True,False,0.2510312787856943,-0.5142032120307141,1.7029340804731885,0.13367221841438973,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,19.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4626.T,太陽ホールディングス,プライム,5,3,8,True,True,False,False,False,False,False,True,False,True,True,False,0.24650491045638367,0.1813067793313985,0.3506014434643144,0.1930108452401446,True,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,28.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5857.T,ＡＲＥホールディングス,プライム,5,5,8,True,False,False,True,True,True,False,True,False,False,True,True,0.6483985192338644,0.272531923778472,0.9321148825065274,-0.3170265505852476,False,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,10.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
6258.T,平田機工,プライム,5,7,8,True,True,True,False,True,True,True,True,False,True,False,False,0.10065505671832553,0.08965553728437747,1.3603918824352694,0.17617642646396958,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,12.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1418.T,インターライフホールディングス,スタンダード,4,6,8,True,True,True,True,True,False,False,True,False,True,True,True,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常YoY+20%不足; 揺るぎない成長要件未満,12.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3082.T,,,4,2,7,True,False,False,False,True,False,False,,False,False,True,,0.2404494382022473,,1.2432432432432432,0.14293567894447498,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 公式スコア上限7/8: データ不足; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3407.T,旭化成,プライム,4,4,8,True,True,False,True,False,False,False,True,False,False,True,True,1.1467298430946093,0.264973183381088,0.12246694272740002,-0.008421261930010604,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,12.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4617.T,中国塗料,プライム,4,7,8,True,True,True,True,True,False,True,True,False,True,True,True,0.2653358925143954,0.946243781917667,0.045944779982743746,0.06093634618224782,False,False,True,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常利益率のYoY改善なし; 経常YoY+20%不足,20.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5831.T,しずおかフィナンシャルグループ,プライム,4,5,8,True,True,True,False,False,False,True,True,False,True,False,False,-0.0014771482235091948,0.1747494344937952,0.6696531238022231,0.2959041191528974,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足,14.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3769.T,ＧＭＯペイメントゲートウェイ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,True,0.1602312390924956,0.24353337973876688,0.41717028083896196,0.09740160294042575,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,32.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4255.T,ＴＨＥＣＯＯ,グロース,3,4,8,True,True,False,False,True,False,False,True,False,False,False,False,-0.8860759493670887,-0.4522774424948339,105.0,0.11371841155234658,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,29.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
